iter	Logloss
0	0.6725120418
1	0.6548907136
2	0.638146056
3	0.6206182619
4	0.6026379826
5	0.5868589822
6	0.5715220869
7	0.5575732121
8	0.5430573593
9	0.5286890472
10	0.5153545524
11	0.5008369755
12	0.4900585527
13	0.4784776022
14	0.4681540254
15	0.456925031
16	0.4469555099
17	0.4381679743
18	0.4290518006
19	0.4195725473
20	0.41032003
21	0.4023995515
22	0.3941030542
23	0.386240948
24	0.3786026856
25	0.3720682005
26	0.3651350746
27	0.3594689176
28	0.3524201159
29	0.3462270808
30	0.3398967763
31	0.3343329961
32	0.3290827931
33	0.3237785271
34	0.3188193468
35	0.3138353773
36	0.3088867208
37	0.3046392664
38	0.3003698875
39	0.296644079
40	0.2924143972
41	0.2884797403
42	0.2845323741
43	0.2805064848
44	0.2770232613
45	0.2737780358
46	0.270394543
47	0.2668947068
48	0.2636187454
49	0.2601258701
50	0.2571305574
51	0.2544823486
52	0.2515124204
53	0.2483204309
54	0.2460098426
55	0.2437635488
56	0.2412193862
57	0.2388364523
58	0.2367331887
59	0.234423668
60	0.2326561277
61	0.2307351728
62	0.2287013612
63	0.2268767167
64	0.2251487183
65	0.2233800535
66	0.2216296633
67	0.2200709661
68	0.2181804115
69	0.2165717557
70	0.2146101343
71	0.2125725443
72	0.2108315486
73	0.2092649019
74	0.2078267132
75	0.2064749843
76	0.2049271608
77	0.2032496261
78	0.2016521823
79	0.2005422526
80	0.1992388453
81	0.1979786385
82	0.1968181424
83	0.1956376494
84	0.1945296296
85	0.1930943853
86	0.1919287855
87	0.1906437222
88	0.1893618012
89	0.1883289425
90	0.1871706276
91	0.1861080396
92	0.1850441078
93	0.1836446287
94	0.1826117641
95	0.1816692109
96	0.1806979852
97	0.1796600777
98	0.1786031954
99	0.1775477606
100	0.1766975149
101	0.1759019955
102	0.1751502554
103	0.1742089098
104	0.173300796
105	0.1725102668
106	0.1717520871
107	0.1707531138
108	0.1698844285
109	0.1690598616
110	0.1683429855
111	0.1675914114
112	0.1668552324
113	0.166082658
114	0.1653242848
115	0.1645955485
116	0.1638302519
117	0.163096263
118	0.1622618588
119	0.1615032979
120	0.1608672022
121	0.1602404741
122	0.1595422409
123	0.1587699451
124	0.1580320477
125	0.1572793765
126	0.1566441635
127	0.156097376
128	0.1554919461
129	0.1548300444
130	0.1542141472
131	0.1535861454
132	0.1530659915
133	0.1525069509
134	0.1519970527
135	0.1514930978
136	0.1507425147
137	0.1502064512
138	0.1497586968
139	0.1492608304
140	0.1487200837
141	0.1481867959
142	0.1476582684
143	0.1470786516
144	0.1464899129
145	0.1459080545
146	0.1453816348
147	0.1449268146
148	0.1444442568
149	0.1440820717
150	0.1436027649
151	0.1431038701
152	0.1427236046
153	0.1422515188
154	0.1417109943
155	0.1413973634
156	0.1409903026
157	0.1405915949
158	0.1401625935
159	0.1397482938
160	0.1391951364
161	0.138789624
162	0.1384159256
163	0.137959064
164	0.1375236681
165	0.1371914303
166	0.1368197376
167	0.1364340506
168	0.1360178972
169	0.1356640475
170	0.135125862
171	0.1348580899
172	0.1344027484
173	0.133982263
174	0.1336488686
175	0.1332495369
176	0.1329160719
177	0.1326729715
178	0.1323898278
179	0.1320835922
180	0.131696015
181	0.1312658251
182	0.1308198765
183	0.130502402
184	0.1301116754
185	0.1297602295
186	0.1295701725
187	0.1292150531
188	0.1288369597
189	0.1285081597
190	0.1282082465
191	0.127799128
192	0.1273989807
193	0.1270884969
194	0.1268084877
195	0.1264629693
196	0.1262189594
197	0.125814196
198	0.1254435973
199	0.125123734
200	0.124951592
201	0.1247326017
202	0.1244339368
203	0.1240652824
204	0.1238000879
205	0.1235370769
206	0.1231762994
207	0.1228976799
208	0.1226846557
209	0.1222941217
210	0.1219286751
211	0.1216745185
212	0.1213605988
213	0.1210011051
214	0.1207782865
215	0.1205856061
216	0.1203872655
217	0.1201593478
218	0.1199449758
219	0.1198054955
220	0.1195678738
221	0.1194186328
222	0.119101372
223	0.118825098
224	0.1186349119
225	0.1184234464
226	0.1182162141
227	0.1180930213
228	0.1177954134
229	0.1174416332
230	0.1172149259
231	0.1169170883
232	0.1167759239
233	0.1164761956
234	0.1162136506
235	0.1159780314
236	0.1156685765
237	0.1153318484
238	0.1150680243
239	0.1148783325
240	0.1147101526
241	0.1145639845
242	0.114431646
243	0.1141266761
244	0.1139518644
245	0.1137887028
246	0.113577152
247	0.1133139086
248	0.113188937
249	0.1129607359
250	0.1128274845
251	0.1126822264
252	0.1124477046
253	0.1123013481
254	0.1120565107
255	0.111744206
256	0.1115282582
257	0.1113167927
258	0.1111707323
259	0.110947949
260	0.110748901
261	0.1106372472
262	0.1105033347
263	0.1102377041
264	0.1101356011
265	0.1098989221
266	0.1097591525
267	0.1096438831
268	0.109538807
269	0.1093898692
270	0.1092299237
271	0.1090405844
272	0.1087961181
273	0.1085176779
274	0.1083937838
275	0.1082045074
276	0.1080123763
277	0.1078969764
278	0.1077609299
279	0.1076511139
280	0.1074625456
281	0.1071979222
282	0.1070423712
283	0.1067620729
284	0.1066493672
285	0.1065643503
286	0.1064207865
287	0.1062223314
288	0.1059531631
289	0.1058233871
290	0.1057104834
291	0.1054564809
292	0.1051975167
293	0.1049353176
294	0.1048288911
295	0.104754124
296	0.1046349991
297	0.1044310509
298	0.1042897911
299	0.1041676407
300	0.1040527302
301	0.1037641746
302	0.1034151944
303	0.103306335
304	0.1031955705
305	0.1031176232
306	0.1029116995
307	0.1026385633
308	0.1024326586
309	0.1022032937
310	0.102143012
311	0.1020544205
312	0.1019554354
313	0.1018482161
314	0.1017465353
315	0.1015753141
316	0.1013422791
317	0.1011080868
318	0.1009982875
319	0.1007973339
320	0.1006596293
321	0.1004975777
322	0.1004157786
323	0.1001715939
324	0.09991081612
325	0.09976864455
326	0.09966134865
327	0.09956287154
328	0.09944042903
329	0.09923296025
330	0.09901082522
331	0.09894173805
332	0.09878574679
333	0.09864264259
334	0.09845794265
335	0.09827642618
336	0.09818909307
337	0.09799456933
338	0.09777874073
339	0.09758935995
340	0.09737989543
341	0.09731474257
342	0.09719025664
343	0.09709195757
344	0.09700529442
345	0.09692712108
346	0.09671502123
347	0.09663049545
348	0.09639773211
349	0.09614939868
350	0.09587239637
351	0.09568849556
352	0.09545412528
353	0.09533462777
354	0.09526050672
355	0.0951608628
356	0.0949028373
357	0.09485004728
358	0.09480096009
359	0.09456759669
360	0.09437996774
361	0.09431836134
362	0.09426293531
363	0.09403024486
364	0.0939337914
365	0.09386654878
366	0.09379300144
367	0.09370652294
368	0.09364073992
369	0.09357117626
370	0.09349722612
371	0.09332358253
372	0.09314036308
373	0.09308234308
374	0.09285466092
375	0.09274728659
376	0.09260311189
377	0.0925078691
378	0.0923526785
379	0.09229135156
380	0.09211373483
381	0.09204786971
382	0.09198870501
383	0.09175808015
384	0.09163697793
385	0.09157752567
386	0.09151385686
387	0.09144128859
388	0.09136358488
389	0.09130993753
390	0.09120966212
391	0.09110183034
392	0.09091896191
393	0.09086079693
394	0.09064370984
395	0.09058348503
396	0.09050611568
397	0.09043128077
398	0.09023829433
399	0.08993808985
400	0.08987456484
401	0.08967400241
402	0.08962042486
403	0.08952880402
404	0.089321332
405	0.08926464715
406	0.08916730915
407	0.0891027369
408	0.08904950169
409	0.08899629384
410	0.08893292614
411	0.0888519498
412	0.08879746832
413	0.0886831662
414	0.08859444038
415	0.08853362538
416	0.08847915066
417	0.08840011333
418	0.08833931209
419	0.08828384334
420	0.08820689951
421	0.08799890368
422	0.08792884131
423	0.08769864612
424	0.08762726786
425	0.08756896574
426	0.08750376987
427	0.08743720352
428	0.08735173372
429	0.0872972042
430	0.08723501436
431	0.08701517039
432	0.08690818636
433	0.08671440795
434	0.08665271645
435	0.08659917986
436	0.08652278382
437	0.08644045868
438	0.08638377917
439	0.08630916345
440	0.08606186942
441	0.08601074977
442	0.08580047973
443	0.08574529985
444	0.08569088001
445	0.08562750421
446	0.08553741025
447	0.0854823318
448	0.08542859651
449	0.08535250197
450	0.08516167015
451	0.08510701063
452	0.0850554926
453	0.08499628665
454	0.0849396756
455	0.08475113863
456	0.08469215043
457	0.08463992159
458	0.08458526073
459	0.08449956939
460	0.08443539914
461	0.08422394389
462	0.08404904389
463	0.08399112509
464	0.08393740914
465	0.08376977301
466	0.08369034398
467	0.08363350854
468	0.08357567757
469	0.0834947847
470	0.08343770804
471	0.08338060395
472	0.08332851071
473	0.08327430165
474	0.08322059929
475	0.08316378953
476	0.08311255207
477	0.0830457598
478	0.08299726113
479	0.08294912527
480	0.08289413552
481	0.08282025235
482	0.0825885941
483	0.0825176004
484	0.08246669152
485	0.08241340671
486	0.08235955362
487	0.08217989615
488	0.08213499087
489	0.08208259617
490	0.08203394673
491	0.08198380343
492	0.08193199751
493	0.08186962827
494	0.08181219551
495	0.08162644093
496	0.08155772592
497	0.08150632394
498	0.08145696117
499	0.08140484023
500	0.08123285631
501	0.08114178875
502	0.08109270105
503	0.08104369443
504	0.08095187359
505	0.08073483499
506	0.08055896229
507	0.08051031172
508	0.08046379178
509	0.08040812435
510	0.0803560857
511	0.08030779917
512	0.08026112851
513	0.08021110851
514	0.08013716387
515	0.08008952782
516	0.08004341053
517	0.07996170263
518	0.07981021724
519	0.07976311524
520	0.07971583406
521	0.0795087113
522	0.07942149166
523	0.07937479933
524	0.07930876833
525	0.07926215244
526	0.07921519302
527	0.07896438734
528	0.07889884256
529	0.0788511039
530	0.07871881087
531	0.07867319479
532	0.0786278731
533	0.07855541419
534	0.07833331983
535	0.07828843645
536	0.0782441898
537	0.07819994995
538	0.07815373135
539	0.07798047974
540	0.07776774751
541	0.07772343932
542	0.07767855033
543	0.07761833276
544	0.07757361367
545	0.0774029141
546	0.07732421101
547	0.07728125848
548	0.0772379499
549	0.07703133713
550	0.0769876931
551	0.07681666173
552	0.07677314902
553	0.07667477179
554	0.07663162767
555	0.07656255138
556	0.0763402369
557	0.07611924811
558	0.07603972473
559	0.0759977994
560	0.07583945888
561	0.07579675301
562	0.0756145605
563	0.07557234201
564	0.07533792573
565	0.07529692481
566	0.07525606079
567	0.07521398484
568	0.07515271403
569	0.07511273324
570	0.07507150624
571	0.07502993695
572	0.07486239948
573	0.07482104242
574	0.07475996894
575	0.07468371834
576	0.0746430871
577	0.07460275022
578	0.07444410085
579	0.07425323485
580	0.07421309663
581	0.07399673652
582	0.07385726565
583	0.07378177528
584	0.07374155497
585	0.07365794548
586	0.0735047698
